matrix_id,company_code,company_name,theme_code,theme,specific_action,summary,time_reference,evidence_source,validation_level,related_kpi_or_number,status,notes
M001,BD,"Becton, Dickinson and Company",AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M002,BD,"Becton, Dickinson and Company",PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M003,BD,"Becton, Dickinson and Company",OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M004,BD,"Becton, Dickinson and Company",TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M005,BD,"Becton, Dickinson and Company",CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M006,BD,"Becton, Dickinson and Company",RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M007,JNJ,Johnson & Johnson,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M008,JNJ,Johnson & Johnson,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M009,JNJ,Johnson & Johnson,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M010,JNJ,Johnson & Johnson,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
