task_id,company_code,company_name,theme,why_deep_dive_needed,missing_evidence,next_document_to_review,priority
T001,BD,"Becton, Dickinson and Company",AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T002,JNJ,Johnson & Johnson,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T003,DexCom,DexCom,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T004,Roche,Roche,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T005,ThermoFisher,Thermo Fisher Scientific,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T006,SiemensHealthineers,Siemens Healthineers,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T007,Danaher,Danaher,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T008,Danone,Danone,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T009,Nestle,Nestlé,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T010,Reckitt,Reckitt,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T011,Teva,Teva,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T012,Sanofi,Sanofi,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T013,Novartis,Novartis,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T014,Sandoz,Sandoz,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T015,EdwardsLifesciences,Edwards Lifesciences,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T016,BostonScientific,Boston Scientific,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
T017,Medtronic,Medtronic,AI / automation,"Need official, quantified use cases across product/R&D/manufacturing/commercial/back office.",No KPI-linked claim validated yet.,Latest annual report + 2 latest earnings transcripts + latest strategy/CMD deck,High
