company_code,company_name,ticker,headquarters_country,disclosure_entity,business_unit_notes,disclosure_cadence,official_ir_page,annual_report_entry,quarterly_or_interim_entry,investor_presentations_entry,earnings_call_or_webcast_entry,annual_reports_collected,quarterly_or_interim_collected,earnings_call_materials_collected,strategy_or_cmd_materials_collected,completeness_score_pct,coverage_status,notes
BD,"Becton, Dickinson and Company",BDX,United States,"Becton, Dickinson and Company",N/A,Quarterly,https://investors.bd.com,https://investors.bd.com/financial-information/annual-reports,https://investors.bd.com/financial-information/quarterly-results,https://investors.bd.com/events-and-presentations,https://investors.bd.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
JNJ,Johnson & Johnson,JNJ,United States,Johnson & Johnson,N/A,Quarterly,https://investor.jnj.com,https://investor.jnj.com/annual-reports-and-proxy/default.aspx,https://investor.jnj.com/financials/quarterly-results/default.aspx,https://investor.jnj.com/events-and-presentations,https://investor.jnj.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
DexCom,DexCom,DXCM,United States,"DexCom, Inc.",N/A,Quarterly,https://investors.dexcom.com,https://investors.dexcom.com/financial-information/annual-reports,https://investors.dexcom.com/financial-information/quarterly-results,https://investors.dexcom.com/events-and-presentations,https://investors.dexcom.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Roche,Roche,ROG.SW,Switzerland,Roche Holding AG,N/A,Semi-annual / trading updates,https://www.roche.com/investors,https://www.roche.com/investors/reports,https://www.roche.com/investors/reports,https://www.roche.com/investors/updates,https://www.roche.com/investors/updates,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
ThermoFisher,Thermo Fisher Scientific,TMO,United States,Thermo Fisher Scientific Inc.,N/A,Quarterly,https://ir.thermofisher.com,https://ir.thermofisher.com/financials/annual-reports,https://ir.thermofisher.com/financials/quarterly-results,https://ir.thermofisher.com/events-and-presentations,https://ir.thermofisher.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
SiemensHealthineers,Siemens Healthineers,SHL.DE,Germany,Siemens Healthineers AG,Research subject for Siemens-related healthcare disclosures,Quarterly,https://www.siemens-healthineers.com/investor-relations,https://www.siemens-healthineers.com/investor-relations/publications/events-publications,https://www.siemens-healthineers.com/investor-relations/publications/events-publications,https://www.siemens-healthineers.com/investor-relations,https://www.siemens-healthineers.com/investor-relations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Danaher,Danaher,DHR,United States,Danaher Corporation,Beckman Coulter tracked as business unit; disclosure at Danaher level,Quarterly,https://investors.danaher.com,https://investors.danaher.com/financials/annual-reports,https://investors.danaher.com/financials/quarterly-results,https://investors.danaher.com/events-and-presentations,https://investors.danaher.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Danone,Danone,BN.PA,France,Danone S.A.,N/A,Quarterly / semi-annual mix,https://www.danone.com/investor-relations.html,https://www.danone.com/investor-relations/financial-publications-and-all-results.html,https://www.danone.com/investor-relations/financial-publications-and-all-results.html,https://www.danone.com/investor-relations/financial-publications-and-all-results.html,https://www.danone.com/investor-relations/financial-publications-and-all-results.html,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Nestle,Nestlé,NESN.SW,Switzerland,Nestlé S.A.,N/A,Quarterly / semi-annual mix,https://www.nestle.com/investors,https://www.nestle.com/investors/publications,https://www.nestle.com/investors/publications,https://www.nestle.com/investors/publications,https://www.nestle.com/investors/publications,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Reckitt,Reckitt,RKT.L,United Kingdom,Reckitt Benckiser Group plc,Mead Johnson/Nutrition tracked as business unit; disclosure at Reckitt level,Quarterly / semi-annual mix,https://www.reckitt.com/investors,https://www.reckitt.com/investors/results-reports-and-presentations/,https://www.reckitt.com/investors/results-reports-and-presentations/,https://www.reckitt.com/investors/results-reports-and-presentations/,https://www.reckitt.com/investors/results-reports-and-presentations/,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Teva,Teva,TEVA,Israel,Teva Pharmaceutical Industries Ltd.,N/A,Quarterly,https://ir.tevapharm.com,https://ir.tevapharm.com/financial-information/annual-reports,https://ir.tevapharm.com/financial-information/quarterly-results,https://ir.tevapharm.com/events-and-presentations,https://ir.tevapharm.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Sanofi,Sanofi,SAN.PA,France,Sanofi,N/A,Quarterly,https://www.sanofi.com/en/investors,https://www.sanofi.com/en/investors/financial-results-and-events,https://www.sanofi.com/en/investors/financial-results-and-events,https://www.sanofi.com/en/investors/financial-results-and-events,https://www.sanofi.com/en/investors/financial-results-and-events,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Novartis,Novartis,NOVN.SW,Switzerland,Novartis AG,Researched separately from Sandoz,Quarterly,https://www.novartis.com/investors,https://www.novartis.com/investors/financial-data/annual-reporting-suite,https://www.novartis.com/investors/financial-data/quarterly-results,https://www.novartis.com/investors/events-calendar,https://www.novartis.com/investors/events-calendar,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Sandoz,Sandoz,SDZ.SW,Switzerland,Sandoz Group AG,Researched separately from Novartis,Quarterly,https://www.sandoz.com/investors,https://www.sandoz.com/investors/publications,https://www.sandoz.com/investors/publications,https://www.sandoz.com/investors/publications,https://www.sandoz.com/investors/publications,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
EdwardsLifesciences,Edwards Lifesciences,EW,United States,Edwards Lifesciences Corporation,N/A,Quarterly,https://ir.edwards.com,https://ir.edwards.com/financial-information/annual-reports,https://ir.edwards.com/financial-information/quarterly-results,https://ir.edwards.com/events-and-presentations,https://ir.edwards.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
BostonScientific,Boston Scientific,BSX,United States,Boston Scientific Corporation,N/A,Quarterly,https://investors.bostonscientific.com,https://investors.bostonscientific.com/financial-information/annual-reports,https://investors.bostonscientific.com/financial-information/quarterly-results,https://investors.bostonscientific.com/events-and-presentations,https://investors.bostonscientific.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
Medtronic,Medtronic,MDT,Ireland (operational HQ in United States),Medtronic plc,N/A,Quarterly,https://investorrelations.medtronic.com,https://investorrelations.medtronic.com/financial-information/annual-reports,https://investorrelations.medtronic.com/financial-information/quarterly-results,https://investorrelations.medtronic.com/events-and-presentations,https://investorrelations.medtronic.com/events-and-presentations,0,0,0,0,0,blocked,Official URLs mapped; content extraction blocked by environment network crawl failure.
